Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
arendst/Tasmota,23916,4839,12,stefanbode/Sonoff-Tasmota;digiblur/Tasmota;JacekDob/Sonoff-Tasmota;rando-calrissian/Vela;ascillato/Tasmota_KNX;gemu2015/Sonoff-Tasmota;reloxx13/Sonoff-Tasmota-Modified;SchumyHao/Tasmota;markus-li/Tasmota-Hubitat;th3dstudio/EZHome;a-roz/Tasmota;effelle/Tasmota-Mesh,21385,26457,12,0.4166666667,0.8586309524
argman/EAST,3057,1016,2,zxytim/EAST;quasiris/EAST,66,71,1,0,0.09677419355
argotorg/solidity,25418,6491,43,solidity-docs/zh-chinese;phoenixchain/solidity;SRI-CSL/solidity;formal-land/coq-of-solidity;tronprotocol/solidity;Katesse/solidity;Karahaa/solidity;Tonyoko/solidity;Ferdara/solidity;Enerfek/solidity;Azanaia/solidity;Nielllle/solidity;Anylani/solidity;Gaerwn/solidity;Ytonali/solidity;Navonnik/solidity;Farichaa/solidity;Chalingok/solidity;Briagont/solidity;Ere11i/solidity;PresPres/solidity;Quillor243/solidity;Tonaedor/solidity;Ristann/solidity;Zik87/solidity;Remiiiiis/solidity;Xieannin/solidity;Ialalendd/solidity;ShumCr/solidity;Berginoff/solidity;QuenQuen1/solidity;sec-bit/adelaide;Vitannare/solidity;FirmaChain/solidity;tamax11/solidity;kurumi1300/solidity;yumikax31/solidity;tramakio/solidity;winsvega/lllc;Karocyt/solidity-fr;FISCO-BCOS/solidity;janeijunior/solidity;LambdaIM/solidity,29068,32632,11,0.1395348837,0.8492071826
aria2/aria2,39432,3859,2,agalwood/aria2;tofuliang/aria2,5635,5729,2,0,0.671957672
aristocratos/btop,28901,877,1,azey7f/btop-gpu,1590,1591,1,1,0.7482517483
ariya/phantomjs,29485,5709,6,r3b/phantomjs;eugene1g/phantomjs;vitallium/phantomjs;bprodoehl/phantomjs;astefanutti/phantomjs;pigshell/nhnick,3136,3335,6,0.5,0.4942832014
armink/EasyFlash,2234,776,1,cephalery-m4-14/EasyFlash,271,271,0,0,0.7073170732
armink/EasyLogger,4292,1274,0,,183,183,0,,0.7272727273
armink/FlashDB,2342,506,0,,259,259,0,,0.7906976744
armory3d/armortools,3732,390,1,lmoreloss/armorpaintCompiled,5124,5131,1,0,0.8333333333
armory3d/armory,3238,336,0,,5995,5995,0,,0.8572593801
arrayfire/arrayfire,4836,561,0,,7155,7155,0,,0.8890005023
arthenica/ffmpeg-kit,5645,1975,5,AliAkhgar/ffmpeg-kit-16KB;tanersener/ffmpeg-kit;carl-designlibro/ffmpeg-kit;arqies/FFmpeg-Kit-Python;suno-ai/ffmpeg-kit,445,566,4,0.2,0.6574074074
arut/nginx-rtmp-module,13938,3195,5,sergey-dryabzhinsky/nginx-rtmp-module;adwpc/nginx-rtmp-module;AlexWoo/nginx-rtmp-module;uizaio/nginx-rtmp-module;dista/nginx-g-streaming,1016,2937,5,0.2,0.08695652174
arvidn/libtorrent,5772,1085,2,ChisBread/libtorrent;airium/libtorrent-rasterbar,18517,18535,2,0.5,0.8976154428
asb2m10/dexed,3179,260,2,surge-synthesizer/dexed;dcoredump/dexed.lv2,581,751,2,1,0.6666666667
aseprite/aseprite,34789,7673,4,yixiaco/aseprite;turbolent/aseprite;VkusniySup/aseprite;igarastudio/aseprite,10753,10783,3,0.25,0.4304147465
asg017/sqlite-vec,6500,336,2,vlasky/sqlite-vec;jart/sqlite-vec,446,464,2,0.5,0.393442623
ashvardanian/StringZilla,2991,112,0,,2355,2355,0,,0.8698224852
asmjit/asmjit,4349,557,0,,580,580,0,,0.5333333333
asmuth/clip,5154,381,0,,4632,4632,0,,0.7086614173
assimp/assimp,12524,3037,2,ruyo/assimp;acgessler/assimp-gsoc2012-fbx,12881,13078,1,1,0.8947545393
asterisk/asterisk,2932,1114,1,naf419/asterisk,81259,81323,1,0,0.8087557604
async-profiler/async-profiler,8697,941,0,,1322,1322,0,,0.6702508961
atar-axis/xpadneo,2446,127,0,,1090,1090,0,,0.6834532374
atc1441/ATC_MiThermometer,3230,290,1,pvvx/ATC_MiThermometer,258,980,1,0,0.9655172414
attractivechaos/klib,4571,631,0,,424,424,0,,0.3209876543
aubio/aubio,3572,402,0,,4483,4483,0,,0.2894736842
audacity/audacity,16052,2477,7,JamesCrook/audacity;Binaergewitter/audiocity;jackoalan/audacity;TEAMuP-dev/audacity;nyaasen/absolute-audacity-of-dis-bitch;badlogic/audacity;Sneedacity/sneedacity,23147,23328,7,0.2857142857,0.7832589871
audiorouterdev/audio-router,3671,395,1,a-sync/audio-router,5,22,1,0,0
avast/retdec,8414,1005,0,,2221,2221,0,,0.8676470588
aws/amazon-freertos,2533,1025,3,foss-xtensa/amazon-freertos;nxp-archive/amazon-freertos;renesas/amazon-freertos,4955,9149,3,0.3333333333,0.819121447
aws/s2n-tls,4657,763,0,,8340,8340,0,,0.8077960284
axboe/fio,5967,1320,0,,8754,8754,0,,0.6965116279
axboe/liburing,3455,478,2,the-moisrex/liburing-hdr-only;cmazakas/liburing,3474,3704,2,0.5,0.8377659574
axel-download-accelerator/axel,3286,290,0,,925,925,0,,0.4775280899
ayoubfaouzi/al-khaser,6741,1249,2,hfiref0x/al-khaser;gsuberland/al-khaser,546,548,1,1,0.9135135135
azahar-emu/azahar,5970,343,3,AzaharPlus/AzaharPlus;SapphireRhodonite/azahar;PabloMK7/azahar,10792,11117,3,0.6666666667,0.6810699588
azerothcore/azerothcore-wotlk,7797,2622,8,trickerer/AzerothCore-wotlk-with-NPCBots;mod-playerbots/azerothcore-wotlk;ZhengPeiRu21/azerothcore-wotlk;conan513/SingleCore-AC;AlvinZhu/azerothcore-wotlk;chromiecraft/azerothcore-wotlk;ChromieCraftServer/azerothcore-wotlk;AyaseCore/azerothcore-wotlk,17223,19804,8,0.75,0.8597693986
b4winckler/macvim,5067,331,7,alloy/macvim;splhack/macvim;qvacua/macvim-for-old-vimr;alexlovelltroy/macvim;eee19/macvim;genoma/macvim;dd19/macvim,7388,20743,4,0.4285714286,0.1186440678
baidu/braft,4185,902,0,,707,707,0,,0.5647058824
baidu/dperf,5501,549,1,pengjianzhang/dperf,481,525,1,1,0.9140271493
baidu/lac,3975,596,0,,158,158,0,,0.6875
baldurk/renderdoc,10203,1447,4,SergeyMakeev/renderdoc;thunderysteak/renderdoc;MioMioReimu/renderdoc;noobdawn/renderdoc,16722,16739,4,0.25,0.7717968158
balloonwj/flamingo,3936,1460,0,,82,82,0,,0
bambulab/BambuStudio,3504,523,0,,11006,11006,0,,0.5146103896
banach-space/llvm-tutor,3312,424,1,HFTrader/llvm-tutor,299,299,0,1,0.78125
